Wavelength,Absorption Efficiency
5.0,0.033013136539577825
3.333333333333333,0.038732744951322395
2.4999999999999996,0.03817395432388171
1.9999999999999996,0.03693650280834193
1.6666666666666665,0.042129003180797486
1.4285714285714282,0.04695802509630731
1.2499999999999996,0.04629963060719344
1.111111111111111,0.048094895228887324
0.9999999999999998,0.05299753614701608
0.9090909090909088,0.06205427627296878
0.833333333333333,0.07720779268845401
0.769230769230769,0.09991741098211415
0.7142857142857141,0.13321150470073384
0.6666666666666665,0.1844619562990517
0.6249999999999999,0.2627928651408298
0.588235294117647,0.37055205203764663
0.5555555555555554,0.49276908506527883
0.5263157894736841,0.6054404337755788
0.4999999999999998,0.7067850222698657
0.47619047619047605,0.7926360901947509
0.4545454545454543,0.8398392276279887
0.43478260869565205,0.8482013112831073
0.4166666666666665,0.8388821145280907
0.39999999999999986,0.8309850566587944
0.38461538461538447,0.8315565957450712
0.37037037037037024,0.8376040081302734
0.357142857142857,0.8432723378806575
0.3448275862068964,0.8448927651322415
0.33333333333333326,0.8417316178231713
0.3225806451612902,0.8346629382730986
0.3124999999999999,0.8249612763426399
0.3030303030303029,0.8137630861583043
0.29411764705882343,0.801945588543377
0.2857142857142856,0.7901495217526178
0.2777777777777777,0.7788387992072641
0.2702702702702702,0.7683659544258323
0.263157894736842,0.7590282526710499
0.25641025641025633,0.7511132643487803
